STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",10/11/2020,0,94,69
USW00023183,"PHOENIX AIRPORT, AZ US",10/12/2020,0,99,68
USW00023183,"PHOENIX AIRPORT, AZ US",10/13/2020,0,100,69
USW00023183,"PHOENIX AIRPORT, AZ US",10/14/2020,0,100,67
USW00023183,"PHOENIX AIRPORT, AZ US",10/15/2020,0,99,69
USW00023183,"PHOENIX AIRPORT, AZ US",10/16/2020,0,102,68
USW00023183,"PHOENIX AIRPORT, AZ US",10/17/2020,0,97,69
USW00023183,"PHOENIX AIRPORT, AZ US",10/18/2020,0,96,65
USW00023183,"PHOENIX AIRPORT, AZ US",10/19/2020,0,97,66
USW00023183,"PHOENIX AIRPORT, AZ US",10/20/2020,0,97,67
USW00023183,"PHOENIX AIRPORT, AZ US",10/21/2020,0,97,67
USW00023183,"PHOENIX AIRPORT, AZ US",10/22/2020,0,94,67
USW00023183,"PHOENIX AIRPORT, AZ US",10/23/2020,0,94,69
USW00023183,"PHOENIX AIRPORT, AZ US",10/24/2020,0,87,70
USW00023183,"PHOENIX AIRPORT, AZ US",10/25/2020,0,88,69
USW00023183,"PHOENIX AIRPORT, AZ US",10/26/2020,0,73,54
USW00023183,"PHOENIX AIRPORT, AZ US",10/27/2020,0,68,50
USW00023183,"PHOENIX AIRPORT, AZ US",10/28/2020,0,70,48
USW00023183,"PHOENIX AIRPORT, AZ US",10/29/2020,0,85,53
USW00023183,"PHOENIX AIRPORT, AZ US",10/30/2020,0,87,60
USW00023183,"PHOENIX AIRPORT, AZ US",10/31/2020,0,86,61
USW00023183,"PHOENIX AIRPORT, AZ US",11/1/2020,0,96,64
USW00023183,"PHOENIX AIRPORT, AZ US",11/2/2020,0,95,68
USW00023183,"PHOENIX AIRPORT, AZ US",11/3/2020,0,93,68
USW00023183,"PHOENIX AIRPORT, AZ US",11/4/2020,0,93,64
USW00023183,"PHOENIX AIRPORT, AZ US",11/5/2020,0,99,62
USW00023183,"PHOENIX AIRPORT, AZ US",11/6/2020,0,89,72
USW00023183,"PHOENIX AIRPORT, AZ US",11/7/2020,0,81,59
USW00023183,"PHOENIX AIRPORT, AZ US",11/8/2020,0,67,52
USW00023183,"PHOENIX AIRPORT, AZ US",11/9/2020,0,62,50
USW00023183,"PHOENIX AIRPORT, AZ US",11/10/2020,0,67,45
USW00023183,"PHOENIX AIRPORT, AZ US",11/11/2020,0,71,44
USW00023183,"PHOENIX AIRPORT, AZ US",11/12/2020,0,73,49
USW00023183,"PHOENIX AIRPORT, AZ US",11/13/2020,0,77,50
USW00023183,"PHOENIX AIRPORT, AZ US",11/14/2020,0,75,49
